date,Return,Cumulative Return
2020-02-29,-0.031981772351288074,-0.031981772351288074
2020-03-31,-0.07943949889044599,-0.10888065527251944
2020-04-30,-0.034137789431533894,-0.13930149982119266
2020-05-31,-0.049732270707677495,-0.18210599062977717
2020-06-30,-0.019110630410153373,-0.19773646075753004
2020-07-31,0.12568137693441317,-0.09690687448126079
2020-08-31,0.02185687749593579,-0.07716807866937592
2020-09-30,-0.0012171932416241704,-0.07829134344717459
2020-10-31,-0.0019999999999998908,-0.08013476076028014
2020-11-30,-0.015444882697430495,-0.09434197147778145
2020-12-31,0.008887930470903305,-0.08629254588986057
2021-01-31,0.040056957252832426,-0.049692205458976346
2021-02-28,0.06869544981414522,0.01558961594890751
2021-03-31,0.023105957729753435,0.039055786685799454
2021-04-30,-0.009237091774549566,0.02945793302530597
2021-05-31,0.04337225859280469,0.0741078487068938
2021-06-30,0.01412251141493237,0.08927694906112538
2021-07-31,0.02947025516831525,0.12137821869892074
2021-08-31,-0.024140091792168028,0.09430804556579098
2021-09-30,-0.05754085610620219,0.03134062378003044
2021-10-31,0.0742016649921915,0.10786781523859412
2021-11-30,0.014412711707540327,0.12383519466969051
2021-12-31,0.0030209756426740064,0.12723027341916748
2022-01-31,-0.05130798876490006,0.06939435521512172
2022-02-28,0.017424212720332788,0.08802770994231301
2022-03-31,0.0,0.08802770994231301
2022-04-30,0.000638694115088656,0.0887226268377066
2022-05-31,0.1491867600989636,0.251145628182057
2022-06-30,0.0405313346127838,0.30185623028722564
2022-07-31,-0.06507026293380924,0.2171441030804182
2022-08-31,0.0,0.2171441030804182
2022-09-30,-0.007433123851839141,0.2080969202166858
2022-10-31,0.06903191545920895,0.29149416467961475
2022-11-30,0.030083652388711357,0.3303470261918855
2022-12-31,0.03373903416138324,0.3752316499550681
2023-01-31,0.01914466996904496,0.4015600060244431
2023-02-28,0.02945483578527308,0.4428427258450993
2023-03-31,0.0400705772221539,0.5006582667104984
2023-04-30,-0.02267000304022082,0.46663833924183895
2023-05-31,-0.03356137073788423,0.41741594620014877
2023-06-30,0.018083444837610596,0.44304770927520876
2023-07-31,0.002799660521843883,0.44708775297800374
2023-08-31,0.012751989977896505,0.4655410015011161
2023-09-30,0.0,0.4655410015011161
2023-10-31,0.03902156683130498,0.5227287076352096
2023-11-30,0.001314848858809281,0.52473086573872
2023-12-31,0.0014096199759412453,0.5268801568249994
2024-01-31,-0.00091748093495847,0.5254792733911462
2024-02-29,0.23751797578145029,0.8878080225035689
2024-03-31,0.05820480804067607,0.9976875260710374
2024-04-30,0.0,0.9976875260710374
2024-05-31,0.0,0.9976875260710374
2024-06-30,-0.015221218930022373,0.9672802868829353
2024-07-31,0.0,0.9672802868829353
2024-08-31,0.028025208169901727,1.0224137264513735
2024-09-30,0.26631042493012713,1.5610035853271609
2024-10-31,0.061551429305181315,1.7186370164597413
2024-11-30,-0.005702081392756075,1.7031351269145283
2024-12-31,0.06724201647676997,1.8848993836574506
